datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-13T01,2013-02-13,01,7453,2.181791569086651,17875,5.232728337236534,173.7157494145199
2013-02-17T16,2013-02-17,16,5117,1.4289304663501816,14573,4.069533649818487,158.1706227310807
2013-02-14T20,2013-02-14,20,2674,1.4095940959409594,14857,7.831839746968898,160.611491829204
2013-02-02T03,2013-02-02,03,7170,1.3223902618959793,37804,6.972334931759498,171.59313906307636
2013-02-27T18,2013-02-27,18,3885,1.3679577464788732,15098,5.316197183098591,167.81830985915494
2013-02-14T09,2013-02-14,09,8445,1.4075,25962,4.327,171.173
2013-02-26T18,2013-02-26,18,3264,1.2102335928809789,10519,3.900259547645532,171.55617352614016
2013-02-01T12,2013-02-01,12,6583,1.257497612225406,31538,6.024450811843362,165.04183381088825
2013-02-28T05,2013-02-28,05,7533,1.3062250736951622,31124,5.396913473209641,169.20964106121033
2013-02-15T22,2013-02-15,22,3528,2.1831683168316833,5040,3.118811881188119,167.4115099009901
2013-02-07T11,2013-02-07,11,7041,1.3212610245824732,30539,5.730718708951023,159.02439482079188
2013-02-14T17,2013-02-14,17,4875,1.386518771331058,15789,4.4906143344709895,154.60722411831628
2013-02-23T00,2013-02-23,00,4544,1.6310122038765256,15502,5.564249820531227,181.06855707106962
2013-02-11T23,2013-02-11,23,2948,1.423466924191212,15016,7.250603573153066,155.12988894253985
2013-02-16T05,2013-02-16,05,8894,1.732035053554041,29414,5.728140214216164,167.39532619279456
2013-02-06T01,2013-02-06,01,5637,1.4976089266737513,28993,7.702709883103082,170.807651434644
2013-02-23T21,2013-02-23,21,2389,1.5831676607024519,9855,6.530815109343936,160.28760768721008
2013-02-11T02,2013-02-11,02,4514,1.437579617834395,22327,7.110509554140127,163.20350318471338
2013-02-17T14,2013-02-17,14,5896,1.449360865290069,20487,5.036135693215339,156.57374631268436
2013-02-14T11,2013-02-14,11,7051,1.3159761104889884,24960,4.6584546472564385,152.94494214259052
2013-02-10T06,2013-02-10,06,6056,1.3535985695127404,26534,5.930710773357175,160.37572641931158
2013-02-03T04,2013-02-03,04,5034,1.1480045610034209,33487,7.636716077537058,155.76647662485746
2013-02-09T13,2013-02-09,13,6299,1.3450779414904976,29378,6.273329062566731,144.41191543882127
2013-02-16T01,2013-02-16,01,4282,1.5408420295070169,15899,5.721122706009356,167.31378193594819
2013-02-10T21,2013-02-10,21,1833,1.0750733137829913,7012,4.1126099706744865,158.9806451612903
